FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
TimeZone,GMT
TimeZoneOffset,+0
DateTimeFormat,yyyy-MM-dd HH:mm:ss.nnnnnnnnn
StartTime,2016-05-18 07:42:19.263
TimeFormat,Absolute
TimeSource,Beacon

DEVICE_INFO
Port,COM 3
BaseSerial,1040-30686
Address,575
ModelName,G-Link 2G (LXRS)
SerialNumber,2418-0575
FirmwareVersion,8.05

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,128Hz,,,tick,tick,,
ch3,Channel Data,128Hz,result = ([slope] * data) + [offset],[slope]=0.001506024 [offset]=-2.802711,G,G,Node Commander v2.17.0,
Node RSSI,Signal Strength,128Hz,result = data,,dBm,dBm,,
Base RSSI,Signal Strength,128Hz,result = data,,dBm,dBm,,

DATA_START
Time,Tick,ch3,Node RSSI,Base RSSI
2016-05-18 07:42:18.001750000,0,-0.9201807212,-30,-25
2016-05-18 07:42:18.009562500,1,-0.914156625,-30,-25
2016-05-18 07:42:18.017375000,2,-0.9292168655,-30,-25
2016-05-18 07:42:18.025187500,3,-0.9307228895,-30,-25
2016-05-18 07:42:18.033000000,4,-0.9533132501,-30,-25
2016-05-18 07:42:18.040812500,5,-0.9743975867,-30,-25
2016-05-18 07:42:18.048625000,6,-0.9894578271,-30,-25
2016-05-18 07:42:18.056437500,7,-1.015060236,-30,-25
2016-05-18 07:42:18.064250000,8,-1.036144572,-30,-25
2016-05-18 07:42:18.072062500,9,-1.049698789,-30,-25
2016-05-18 07:42:18.079875000,10,-1.064759029,-30,-25
2016-05-18 07:42:18.087687500,11,-1.066265053,-30,-25
2016-05-18 07:42:18.095500000,12,-1.072289149,-30,-25
2016-05-18 07:42:18.103312500,13,-1.070783125,-30,-25
2016-05-18 07:42:18.111125000,14,-1.055722885,-30,-25
2016-05-18 07:42:18.118937500,15,-1.046686741,-30,-25
2016-05-18 07:42:18.126750000,16,-1.027108428,-30,-25
2016-05-18 07:42:18.134562500,17,-1.003012043,-30,-25
2016-05-18 07:42:18.142375000,18,-0.987951803,-30,-25
2016-05-18 07:42:18.150187500,19,-0.9623493943,-30,-25
2016-05-18 07:42:18.158000000,20,-0.9442771059,-30,-25
2016-05-18 07:42:18.165812500,21,-0.9277108414,-30,-25
2016-05-18 07:42:18.173625000,22,-0.9186746972,-30,-25
2016-05-18 07:42:18.181437500,23,-0.9201807212,-30,-25
2016-05-18 07:42:18.189250000,24,-0.9262048174,-30,-25
2016-05-18 07:42:18.197062500,25,-0.9262048174,-30,-25
